sku,title,handle,shopify_store,environment,format,price,system,function_name,ingredient_name_label,ingredient_descriptor,net_quantity,suggested_use,contraindications
CV-01_MO_OMEGA-3,Omega-3 EPA + DHA - Lipid Metabolism (MAXimo²),omega-3-epa-dha-lipid-metabolism-maximo,maximo,MAXimo²,BOTTLE,,CV,Lipid Metabolism,OMEGA-3 EPA 180MG + DHA 120MG,Omega-3 EPA + DHA,100 softgels,With meals,Not intended for medical use
CV-04_MO_COLON,Colon Gentle Cleanse - Gut Motility (MAXimo²),colon-gentle-cleanse-gut-motility-maximo,maximo,MAXimo²,JAR,,CV,Gut Motility,COLON GENTLE CLEANSE,Psyllium Fiber Blend,0.20 lb (90 g),Mix with water,Not intended for medical use
GL-01_MO_BERBERINE,Berberine - Glucose Regulation (MAXimo²),berberine-glucose-regulation-maximo,maximo,MAXimo²,BOTTLE,,GL,Insulin Sensitivity,BERBERINE,Berberine HCl,60 capsules,1 capsule daily,Not intended for medical use
GL-04_MO_IRON,Iron Strips - Iron Status (MAXimo²),iron-strips-iron-status-maximo,maximo,MAXimo²,STRIPS,,GL,Iron Status Optimization,IRON STRIPS,Elemental Iron,2 oz (60 g),Any time,Not intended for medical use
GL-10_MO_DENTAL,Dental + Oral Health Chewables (MAXimo²),dental-oral-health-chewables-maximo,maximo,MAXimo²,BOTTLE,,GL,Oral Microbiome Balance,DENTAL + ORAL HEALTH CHEWABLES,Probiotic Chewables,1.3 oz (36 g),1 chewable daily,Not intended for medical use
MT-09_MO_WHEY,Whey Protein Isolate Chocolate (MAXimo²),whey-protein-isolate-chocolate-maximo,maximo,MAXimo²,POUCH,,MT,Muscle Protein Synthesis,WHEY PROTEIN ISOLATE,Whey Protein Isolate,29.60 oz (839 g),Mix 1 scoop with water,Not intended for medical use
IN-04_MO_RESPIRATORY,Respiratory & Lung Health Drops (MAXimo²),respiratory-lung-health-drops-maximo,maximo,MAXimo²,DROPPER,,IN,Respiratory Mucosal Defense,RESPIRATORY & LUNG HEALTH DROPS,NAC + Respiratory,2.7 oz (75 g),Shake well. Adults take 2 drops,Not intended for medical use
